chromosome,start,end,coverage
VIII,214386,214387,427
VIII,214387,214388,424
VIII,214389,214390,432
VIII,214390,214391,435
VIII,214393,214394,419
VIII,214394,214395,417
VIII,214398,214400,406
VIII,214400,214401,412
VIII,214401,214403,410
VIII,214406,214410,390
VIII,214410,214411,393
VIII,214412,214414,400
VIII,214414,214417,399
VIII,214417,214418,401
VIII,214418,214421,402
VIII,214421,214422,404
VIII,214422,214423,414
VIII,214423,214425,416
VIII,214425,214426,425
VIII,214426,214427,424
VIII,214443,214445,360
VIII,214445,214446,350
VIII,214448,214449,366
VIII,214449,214450,367
VIII,214450,214451,342
VIII,214451,214454,343
VIII,214454,214455,341
VIII,214457,214458,340
VIII,214458,214459,341
VIII,214459,214462,364
VIII,214462,214463,366
VIII,214463,214465,365
VIII,214465,214466,361
VIII,214466,214467,362
VIII,214469,214472,394
VIII,214472,214476,395
VIII,214476,214477,393
VIII,214478,214479,392
VIII,214479,214480,390
VIII,214480,214484,394
VIII,214484,214485,393
VIII,214485,214491,386
VIII,214493,214497,391
VIII,214497,214498,400
VIII,214498,214500,401
VIII,214503,214504,381
VIII,214504,214505,376
VIII,214505,214506,374
VIII,214506,214507,378
VIII,214507,214508,377
VIII,214508,214509,375
VIII,214509,214510,370
VIII,214510,214512,365
VIII,214512,214513,366
VIII,214513,214514,371
VIII,214514,214515,376
VIII,214515,214516,372
VIII,214516,214517,373
VIII,214517,214519,374
VIII,214519,214522,382
VIII,214522,214523,371
VIII,214523,214524,370
VIII,214524,214526,356
VIII,214526,214529,357
VIII,214529,214532,355
VIII,214532,214534,353
VIII,214534,214535,361
VIII,214535,214536,362
VIII,214536,214537,360
VIII,214537,214539,373
VIII,214539,214540,370
VIII,214540,214541,363
VIII,214541,214542,359
VIII,214542,214544,366
VIII,214544,214545,367
VIII,214545,214546,368
VIII,214546,214549,348
VIII,214549,214551,349
VIII,214551,214552,342
VIII,214552,214554,343
VIII,214554,214556,341
VIII,214556,214557,339
VIII,214557,214559,338
VIII,214559,214561,340
VIII,214561,214562,337
VIII,214562,214563,335
VIII,214563,214564,333
VIII,214564,214568,340
VIII,214568,214569,338
VIII,214569,214571,340
VIII,214571,214572,341
VIII,214572,214573,338
VIII,214573,214576,329
VIII,214733,214735,329
VIII,214741,214743,324
VIII,214744,214745,325
VIII,214745,214748,324
VIII,214784,214785,332
VIII,214785,214786,330
VIII,214786,214787,329
VIII,214787,214788,332
VIII,214789,214790,344
VIII,214790,214791,341
VIII,562474,562475,338
VIII,562475,562476,339
VIII,562476,562477,340
VIII,562477,562478,331
VIII,562478,562479,326
VIII,562482,562483,329
VIII,562490,562492,393
VIII,562501,562502,436
VIII,562502,562504,432
VIII,562542,562543,491
VIII,562543,562544,484
VIII,562544,562546,476
VIII,562553,562554,357
VIII,562561,562562,369
VIII,562562,562563,364
VIII,562563,562564,352
VIII,562564,562565,365
VIII,562566,562568,365
VIII,562568,562569,351
VIII,562569,562570,353
VIII,562570,562571,335
VIII,562571,562572,336
XII,451447,451450,342
XII,451450,451452,350
XII,451452,451455,355
XII,451455,451456,380
XII,451456,451457,381
XII,451459,451461,420
XII,451467,451469,447
XII,451474,451477,544
XII,451483,451484,598
XII,451484,451486,599
XII,451486,451488,601
XII,451488,451490,606
XII,451495,451498,666
XII,451500,451502,710
XII,451503,451504,756
XII,451504,451506,754
XII,451513,451515,859
XII,451518,451519,939
XII,451521,451523,961
XII,451526,451528,974
XII,451528,451530,1013
XII,451531,451532,1015
XII,451534,451537,1022
XII,451537,451539,1020
XII,451544,451546,1045
XII,451546,451549,1047
XII,451549,451555,1046
XII,451556,451558,1047
XII,451558,451559,1048
XII,451559,451561,1046
XII,451562,451566,1058
XII,451586,451588,999
XII,451598,451599,1061
XII,451599,451600,1059
XII,451613,451615,1484
XII,451646,451649,1706
XII,451651,451652,1867
XII,451652,451653,1863
XII,451678,451679,1899
XII,451681,451682,1889
XII,451682,451683,1890
XII,451686,451687,1922
XII,451691,451693,2003
XII,451694,451696,2046
XII,451698,451700,2051
XII,451700,451701,2050
XII,451701,451703,2118
XII,451708,451709,2205
XII,451709,451710,2204
XII,451710,451712,2214
XII,451713,451715,2302
XII,451723,451725,2550
XII,451728,451730,2552
XII,451735,451737,2522
XII,451762,451764,2495
XII,451772,451773,2077
XII,451773,451774,2079
XII,451797,451799,1943
XII,451812,451815,1846
XII,451815,451816,1847
XII,451818,451820,1836
XII,451823,451825,1901
XII,451838,451840,2117
XII,451840,451842,2115
XII,451850,451852,2260
XII,451852,451854,2205
XII,451861,451863,2181
XII,451870,451872,2507
XII,451876,451878,2349
XII,451904,451906,2310
XII,451915,451917,2317
XII,451921,451923,2332
XII,451933,451935,2544
XII,451936,451938,2466
XII,451938,451939,2469
XII,451948,451949,2579
XII,451949,451950,2580
XII,451956,451958,2512
XII,451960,451961,2507
XII,451961,451962,2510
XII,451974,451975,2433
XII,451975,451976,2434
XII,452001,452003,2077
XII,452003,452004,2080
XII,452004,452005,2085
XII,452016,452017,2010
XII,452017,452018,2011
XII,452022,452024,1931
XII,452025,452027,1880
XII,452044,452046,1930
XII,452050,452052,1907
XII,452052,452054,1878
XII,452061,452063,1974
XII,452066,452068,1932
XII,452068,452069,1931
XII,452089,452090,2109
XII,452090,452091,2114
XII,452107,452109,2111
XII,452122,452124,2092
XII,452130,452131,2116
XII,452131,452132,2114
XII,452137,452139,2059
XII,452148,452150,2151
XII,452156,452158,2021
XII,452166,452168,1860
XII,452201,452203,1888
XII,452203,452204,1890
XII,452204,452205,1889
XII,452223,452224,1975
XII,452224,452226,1974
XII,452232,452234,1754
XII,452239,452242,1704
XII,452257,452260,1778
XII,452263,452265,1899
XII,452267,452268,1957
XII,452268,452269,1958
XII,452284,452285,1900
XII,452293,452295,2072
XII,452310,452311,1946
XII,452311,452312,1944
XII,452319,452322,1923
XII,452329,452331,1925
XII,452397,452399,1917
XII,452402,452403,1957
XII,452413,452415,1997
XII,452427,452428,2002
XII,452445,452447,2020
XII,452454,452456,2000
XII,452457,452459,2054
XII,452469,452470,2219
XII,452470,452471,2220
XII,452471,452472,2222
XII,452493,452495,2182
XII,452500,452502,2175
XII,452503,452505,2204
XII,452513,452515,2141
XII,452545,452547,2156
XII,452556,452558,2205
XII,452572,452574,2080
XII,452574,452576,2098
XII,452581,452583,2139
XII,452595,452597,2258
XII,452604,452606,2353
XII,452637,452639,2238
XII,452642,452644,2233
XII,452676,452677,2049
XII,452677,452678,2048
XII,452679,452680,2122
XII,452680,452681,2124
XII,452681,452682,2099
XII,452682,452683,2096
XII,452707,452708,2238
XII,452708,452710,2239
XII,452712,452713,2234
XII,452713,452714,2226
XII,452716,452717,2293
XII,452717,452718,2295
XII,452745,452747,2163
XII,452788,452790,2257
XII,452790,452791,2256
XII,452816,452818,2330
XII,452821,452822,2266
XII,452822,452823,2269
XII,452825,452827,2270
XII,452850,452852,2306
XII,452853,452855,2282
XII,452855,452856,2280
XII,452856,452857,2285
XII,452859,452861,2304
XII,452903,452905,1999
XII,452913,452915,2172
XII,452918,452919,2054
XII,452919,452920,2050
XII,452923,452925,2135
XII,452934,452936,2196
XII,452937,452938,2212
XII,452938,452939,2213
XII,452939,452941,2209
XII,452943,452945,2137
XII,452951,452953,2107
XII,452958,452960,2055
XII,452961,452962,2016
XII,452962,452964,2011
XII,452981,452982,2341
XII,452982,452983,2339
XII,453006,453008,2211
XII,453025,453027,2310
XII,453040,453041,2279
XII,453041,453042,2281
XII,453046,453047,2362
XII,453097,453098,2246
XII,453098,453100,2247
XII,453100,453102,2239
XII,453113,453114,2477
XII,453114,453115,2481
XII,453133,453134,2204
XII,453134,453135,2206
XII,453137,453138,2187
XII,453138,453139,2189
XII,453149,453151,2207
XII,453206,453208,2271
XII,453214,453216,2170
XII,453216,453219,2210
XII,453229,453231,2092
XII,453235,453237,2085
XII,453243,453244,2100
XII,453244,453245,2099
XII,453251,453253,2133
XII,453273,453274,1952
XII,453274,453276,1950
XII,453279,453281,2038
XII,453284,453285,2068
XII,453285,453286,2065
XII,453315,453317,2204
XII,453385,453387,2085
XII,453390,453392,2074
XII,453409,453412,2179
XII,453415,453417,2237
XII,453421,453422,2287
XII,453422,453423,2289
XII,453426,453427,2373
XII,453427,453429,2372
XII,453430,453432,2327
XII,453466,453468,2205
XII,453509,453511,2225
XII,453527,453529,2362
XII,453556,453557,2471
XII,453557,453558,2470
XII,453573,453575,2271
XII,453577,453578,2232
XII,453578,453579,2231
XII,453591,453593,2103
XII,453618,453620,2109
XII,453624,453626,1999
XII,453632,453634,2109
XII,453637,453639,2322
XII,453649,453651,2318
XII,453669,453671,2233
XII,453693,453695,2267
XII,453754,453756,2404
XII,453756,453758,2395
XII,453796,453798,2314
XII,453801,453803,2326
XII,453826,453828,2234
XII,453857,453859,2257
XII,453886,453888,2501
XII,453919,453921,2589
XII,453930,453931,2235
XII,453931,453932,2237
XII,453939,453940,2284
XII,453940,453941,2282
XII,453941,453942,2279
XII,453953,453954,2264
XII,453954,453955,2266
XII,453969,453971,2279
XII,454015,454017,2159
XII,454021,454023,2102
XII,454028,454030,2236
XII,454030,454031,2234
XII,454031,454032,2235
XII,454045,454047,2259
XII,454058,454059,2121
XII,454059,454060,2120
XII,454061,454063,2038
XII,454068,454069,2270
XII,454069,454070,2272
XII,454093,454095,2180
XII,454119,454120,2175
XII,454120,454121,2176
XII,454129,454131,2162
XII,454150,454152,2199
XII,454154,454156,2125
XII,454163,454165,2096
XII,454172,454174,2136
XII,454201,454203,1960
XII,454212,454213,2259
XII,454213,454214,2262
XII,454226,454228,1946
XII,454249,454250,2112
XII,454250,454251,2114
XII,454257,454259,2058
XII,454259,454260,2057
XII,454260,454262,2056
XII,454289,454291,2094
XII,454296,454298,2122
XII,454348,454349,2309
XII,454349,454350,2310
XII,454353,454354,2331
XII,454354,454355,2332
XII,454357,454359,2246
XII,454367,454370,2062
XII,454375,454376,2095
XII,454376,454377,2097
XII,454381,454383,2149
XII,454411,454412,2112
XII,454412,454413,2111
XII,454430,454432,2069
XII,454438,454439,2198
XII,454439,454440,2199
XII,454455,454456,2193
XII,454456,454457,2191
XII,454473,454475,2179
XII,454480,454482,2403
XII,454489,454490,2431
XII,454490,454491,2432
XII,454514,454515,2435
XII,454524,454526,2383
XII,454539,454541,2300
XII,454543,454545,2288
XII,454545,454547,2254
XII,454553,454554,2374
XII,454554,454555,2373
XII,454570,454572,2318
XII,454580,454581,2400
XII,454581,454582,2401
XII,454597,454599,2463
XII,454616,454617,2331
XII,454648,454650,2233
XII,454661,454662,2177
XII,454666,454668,2023
XII,454668,454670,2046
XII,454675,454676,2104
XII,454676,454677,2106
XII,454684,454686,2283
XII,454691,454693,2275
XII,454695,454698,2286
XII,454751,454753,2211
XII,454754,454755,2271
XII,454755,454756,2268
XII,454767,454769,2208
XII,454797,454799,2055
XII,454807,454809,2008
XII,454832,454834,2292
XII,454842,454844,2373
XII,454867,454868,2337
XII,454868,454869,2336
XII,454874,454876,2298
XII,454894,454896,2173
XII,454900,454902,2166
XII,454909,454912,2194
XII,454918,454919,2184
XII,454919,454920,2185
XII,454961,454962,2399
XII,454962,454963,2397
XII,455011,455013,2329
XII,455032,455034,2370
XII,455037,455039,2268
XII,455051,455054,2282
XII,455057,455058,2263
XII,455058,455059,2269
XII,455060,455062,2251
XII,455074,455076,2342
XII,455087,455089,2378
XII,455123,455125,2108
XII,455132,455133,2048
XII,455133,455134,2049
XII,455170,455171,2176
XII,455171,455172,2175
XII,455193,455194,2105
XII,455194,455195,2104
XII,455211,455212,2109
XII,455212,455214,2112
XII,455221,455223,2001
XII,455228,455230,2142
XII,455251,455253,2135
XII,455256,455257,2132
XII,455257,455258,2135
XII,455260,455261,2137
XII,455261,455262,2139
XII,455266,455268,2154
XII,455275,455277,2147
XII,455326,455328,2046
XII,455333,455336,2039
XII,455344,455346,2056
XII,455349,455351,2073
XII,455353,455355,2064
XII,455430,455432,2385
XII,455439,455441,2303
XII,455466,455468,2069
XII,455477,455478,2089
XII,455478,455480,2090
XII,455482,455483,2089
XII,455485,455486,2101
XII,455486,455487,2102
XII,455558,455560,2122
XII,455564,455565,2093
XII,455565,455566,2092
XII,455578,455580,2467
XII,455588,455590,2311
XII,455598,455599,2186
XII,455608,455610,2121
XII,455610,455612,2116
XII,455612,455614,2117
XII,455614,455615,2115
XII,455616,455617,2108
XII,455617,455618,2109
XII,455625,455627,2152
XII,455641,455642,2107
XII,455642,455643,2110
XII,455644,455646,2089
XII,455675,455677,2124
XII,455680,455682,2140
XII,455683,455684,2137
XII,455684,455685,2140
XII,455704,455706,2340
XII,455706,455708,2346
XII,455719,455722,2600
XII,455729,455732,2356
XII,455738,455740,2516
XII,455740,455741,2515
XII,455741,455742,2511
XII,455753,455755,2439
XII,455755,455756,2440
XII,455763,455765,2468
XII,455777,455779,2482
XII,455792,455794,2381
XII,455800,455802,2363
XII,455827,455829,2430
XII,455838,455839,2379
XII,455839,455840,2381
XII,455847,455849,2406
XII,455851,455852,2401
XII,455852,455853,2398
XII,455872,455873,2013
XII,455873,455874,2015
XII,455880,455882,2142
XII,455882,455883,2144
XII,455890,455892,2062
XII,455900,455902,2164
XII,455902,455904,2183
XII,455905,455906,2189
XII,455906,455907,2188
XII,455921,455923,2365
XII,455923,455924,2366
XII,455924,455926,2363
XII,455926,455927,2308
XII,455927,455928,2314
XII,455930,455932,2319
XII,455934,455935,2332
XII,455935,455936,2333
XII,455943,455946,2443
XII,455979,455981,2291
XII,455985,455987,2220
XII,455989,455990,2193
XII,455990,455991,2190
XII,456002,456004,2051
XII,456013,456016,2006
XII,456018,456020,2019
XII,456022,456023,2022
XII,456023,456025,2023
XII,456044,456046,2077
XII,456046,456048,2105
XII,456062,456063,2093
XII,456063,456064,2095
XII,456064,456065,2096
XII,456071,456073,1977
XII,456085,456086,2135
XII,456119,456120,2192
XII,456120,456121,2195
XII,456121,456123,2194
XII,456125,456127,2103
XII,456136,456138,2229
XII,456146,456148,2223
XII,456162,456163,2319
XII,456164,456167,2349
XII,456172,456174,2307
XII,456174,456175,2306
XII,456175,456176,2307
XII,456176,456178,2322
XII,456178,456180,2253
XII,456183,456185,2453
XII,456185,456186,2425
XII,456186,456187,2432
XII,456188,456190,2504
XII,456209,456210,2186
XII,456210,456211,2184
XII,456227,456228,2095
XII,456228,456229,2093
XII,456243,456245,2286
XII,456271,456274,1997
XII,456276,456278,2129
XII,456301,456302,2190
XII,456302,456303,2191
XII,456321,456323,2340
XII,456325,456327,2337
XII,456329,456330,2356
XII,456330,456331,2353
XII,456339,456341,2130
XII,456360,456362,2261
XII,456372,456373,2366
XII,456373,456374,2370
XII,456385,456387,2488
XII,456395,456397,2344
XII,456411,456412,2093
XII,456412,456413,2092
XII,456413,456415,2091
XII,456430,456432,2253
XII,456466,456468,2006
XII,456480,456483,2134
XII,456483,456485,2133
XII,456517,456520,2360
XII,456532,456533,2133
XII,456533,456534,2130
XII,456547,456549,1990
XII,456600,456602,2206
XII,456608,456609,2040
XII,456609,456610,2038
XII,456622,456624,2146
XII,456626,456628,2115
XII,456642,456644,2063
XII,456670,456672,1934
XII,456680,456681,1939
XII,456681,456682,1917
XII,456706,456707,2271
XII,456707,456708,2270
XII,456732,456734,2270
XII,456766,456768,2146
XII,456773,456775,2145
XII,456777,456780,2186
XII,456791,456793,2254
XII,456814,456816,2172
XII,456823,456825,2295
XII,456832,456834,2299
XII,456835,456837,2249
XII,456852,456854,2340
XII,456897,456899,2122
XII,456912,456914,2120
XII,456915,456917,2184
XII,456920,456922,2207
XII,456923,456926,2318
XII,456929,456930,2285
XII,456930,456931,2284
XII,456946,456948,2265
XII,456951,456953,2265
XII,456961,456963,2380
XII,456970,456972,2290
XII,456972,456973,2291
XII,456973,456975,2284
XII,456976,456977,2286
XII,456977,456978,2282
XII,457022,457023,2320
XII,457023,457024,2322
XII,457032,457034,2193
XII,457047,457049,2179
XII,457054,457055,2227
XII,457073,457074,2237
XII,457074,457076,2238
XII,457079,457081,2341
XII,457111,457112,2241
XII,457112,457113,2242
XII,457121,457123,2227
XII,457127,457129,2321
XII,457149,457150,2372
XII,457150,457151,2373
XII,457154,457156,2335
XII,457164,457166,2268
XII,457206,457207,2282
XII,457207,457208,2283
XII,457248,457250,2340
XII,457267,457268,2367
XII,457268,457269,2366
XII,457270,457272,2376
XII,457294,457296,2139
XII,457309,457311,2414
XII,457322,457324,2382
XII,457324,457325,2338
XII,457325,457326,2336
XII,457326,457328,2310
XII,457335,457337,2212
XII,457343,457344,2283
XII,457344,457345,2284
XII,457348,457349,2317
XII,457356,457357,2156
XII,457357,457358,2157
XII,457358,457359,2156
XII,457359,457361,2177
XII,457373,457375,2025
XII,457378,457380,2035
XII,457381,457383,2073
XII,457422,457424,1986
XII,457429,457431,1935
XII,457436,457438,1912
XII,457441,457442,2380
XII,457442,457443,2378
XII,457447,457449,2458
XII,457470,457471,2382
XII,457475,457477,2369
XII,457477,457479,2386
XII,457479,457481,2383
XII,457490,457492,2407
XII,457499,457501,2305
XII,457506,457509,2334
XII,457510,457512,2282
XII,457512,457513,2288
XII,457513,457514,2293
XII,457514,457515,2289
XII,457526,457528,2474
XII,457578,457580,2429
XII,457584,457585,2986
XII,457585,457586,2979
XII,457626,457627,2295
XII,457627,457628,2298
XII,457630,457632,2292
XII,457639,457640,2228
XII,457640,457641,2224
XII,457641,457643,2226
XII,457648,457651,2250
XII,457655,457657,2267
XII,457664,457666,2418
XII,457704,457706,2701
XII,457714,457716,2505
XII,457718,457719,2498
XII,457719,457720,2499
XII,457720,457722,2497
XII,457740,457742,2001
XII,457754,457755,2021
XII,457755,457756,2018
XII,457762,457764,2019
XII,457764,457766,2020
XII,457771,457772,2031
XII,457790,457792,2272
XII,457830,457832,2528
XII,457835,457837,2378
XII,457837,457839,2384
XII,457848,457849,2450
XII,457855,457857,2247
XII,457857,457858,2245
XII,457871,457872,2231
XII,457872,457873,2230
XII,457905,457907,2250
XII,457969,457971,2265
XII,457979,457981,2146
XII,457991,457993,2244
XII,458006,458009,2271
XII,458029,458030,2251
XII,458030,458031,2252
XII,458046,458048,2476
XII,458054,458055,2468
XII,458055,458057,2471
XII,458078,458080,2304
XII,458081,458083,2287
XII,458085,458087,2235
XII,458093,458095,2072
XII,458106,458108,1832
XII,458148,458149,2296
XII,458149,458151,2298
XII,458153,458154,2290
XII,458154,458155,2289
XII,458166,458168,2279
XII,458173,458175,2222
XII,458188,458190,2514
XII,458198,458199,2383
XII,458199,458200,2384
XII,458212,458214,2196
XII,458218,458219,2192
XII,458219,458220,2194
XII,458220,458222,2196
XII,458242,458244,2155
XII,458244,458245,2163
XII,458245,458246,2158
XII,458248,458250,2162
XII,458257,458258,2187
XII,458272,458274,2188
XII,458280,458282,2089
XII,458288,458290,2424
XII,458299,458300,2216
XII,458300,458301,2214
XII,458309,458311,2127
XII,458347,458349,2290
XII,458350,458352,2298
XII,458358,458360,2294
XII,458367,458369,2257
XII,458370,458371,2363
XII,458371,458372,2362
XII,458372,458374,2358
XII,458380,458382,2341
XII,458385,458387,2289
XII,458395,458396,2425
XII,458396,458397,2426
XII,458419,458421,2481
XII,458423,458425,2414
XII,458428,458429,2404
XII,458451,458453,1988
XII,458492,458496,1928
XII,458496,458498,2079
XII,458514,458516,2229
XII,458516,458518,2264
XII,458518,458520,2265
XII,458521,458524,2198
XII,458532,458534,2304
XII,458535,458536,2308
XII,458537,458539,2323
XII,458558,458560,2296
XII,458560,458562,2316
XII,458565,458567,2296
XII,458568,458570,2301
XII,458572,458574,2305
XII,458574,458576,2304
XII,458587,458589,2368
XII,458592,458594,2334
XII,458607,458610,2411
XII,458626,458627,2087
XII,458627,458628,2089
XII,458644,458646,2301
XII,458653,458655,2024
XII,458691,458693,2306
XII,458694,458696,2094
XII,458711,458712,2274
XII,458712,458713,2275
XII,458713,458715,2271
XII,458716,458717,2235
XII,458717,458718,2233
XII,458759,458761,2261
XII,458768,458770,2359
XII,458785,458787,2231
XII,458790,458792,2043
XII,458795,458797,1947
XII,458810,458812,1968
XII,458813,458814,2159
XII,458814,458815,2158
XII,458839,458841,2290
XII,458841,458843,2288
XII,458862,458863,2113
XII,458863,458864,2112
XII,458865,458867,2140
XII,458874,458876,2076
XII,458877,458879,2076
XII,458880,458882,2084
XII,458883,458885,2061
XII,458886,458888,2079
XII,458890,458891,2097
XII,458891,458892,2102
XII,458901,458904,2527
XII,458910,458911,2557
XII,458911,458912,2559
XII,458920,458922,2514
XII,458929,458930,2472
XII,458930,458931,2470
XII,458986,458988,2257
XII,458992,458994,2226
XII,459001,459003,2169
XII,459020,459022,2170
XII,459023,459024,2147
XII,459024,459025,2148
XII,459025,459026,2144
XII,459026,459027,2146
XII,459032,459035,2168
XII,459044,459045,2863
XII,459045,459046,2862
XII,459052,459056,2275
XII,459065,459068,2282
XII,459068,459070,2288
XII,459091,459093,2503
XII,459094,459096,2510
XII,459122,459123,2275
XII,459123,459124,2274
XII,459131,459133,2316
XII,459138,459140,2265
XII,459161,459163,2363
XII,459166,459167,2321
XII,459167,459168,2320
XII,459176,459178,2349
XII,459191,459193,2613
XII,459203,459204,2082
XII,459204,459205,2083
XII,459207,459208,2121
XII,459208,459209,2119
XII,459213,459215,2136
XII,459225,459227,2271
XII,459235,459237,2355
XII,459250,459252,2372
XII,459265,459266,2442
XII,459266,459267,2444
XII,459279,459281,2316
XII,459282,459285,2353
XII,459293,459295,2385
XII,459302,459304,2341
XII,459304,459306,2362
XII,459307,459309,2351
XII,459344,459346,2321
XII,459360,459361,2387
XII,459361,459362,2394
XII,459389,459391,2344
XII,459392,459393,2327
XII,459393,459394,2325
XII,459419,459421,2390
XII,459430,459432,2341
XII,459433,459435,2295
XII,459439,459441,2260
XII,459444,459446,2278
XII,459448,459449,2297
XII,459453,459455,2385
XII,459458,459460,2516
XII,459496,459497,2652
XII,459497,459498,2658
XII,459550,459552,2786
XII,459565,459566,2535
XII,459566,459567,2534
XII,459579,459581,2503
XII,459586,459588,2557
XII,459590,459592,2570
XII,459615,459617,3053
XII,459657,459659,3467
XII,459659,459661,3447
XII,459676,459678,3291
XII,459682,459683,3347
